"fixed_acidity", "fixed_acidity"_squared, "volatile_acidity", "volatile_acidity"_squared, "citric_acid", "citric_acid"_squared, "residual_sugar", "residual_sugar"_squared, "chlorides", "chlorides"_squared, "free_sulfur_dioxide", "free_sulfur_dioxide"_squared, "total_sulfur_dioxide", "total_sulfur_dioxide"_squared, "density", "density"_squared, "pH", "pH"_squared, "sulphates", "sulphates"_squared, "alcohol", "alcohol"_squared, "quality"
7.4, 54.760000000000005, 0.7, 0.48999999999999994, 0.0, 0.0, 1.9, 3.61, 0.076, 0.005776, 11.0, 121.0, 34.0, 1156.0, 0.9978, 0.99560484, 3.51, 12.320099999999998, 0.56, 0.31360000000000005, 9.4, 88.36000000000001, 5.0
7.8, 60.839999999999996, 0.88, 0.7744, 0.0, 0.0, 2.6, 6.760000000000001, 0.098, 0.009604000000000001, 25.0, 625.0, 67.0, 4489.0, 0.9968, 0.9936102400000001, 3.2, 10.240000000000002, 0.68, 0.4624000000000001, 9.8, 96.04000000000002, 5.0
7.8, 60.839999999999996, 0.76, 0.5776, 0.04, 0.0016, 2.3, 5.289999999999999, 0.092, 0.008464, 15.0, 225.0, 54.0, 2916.0, 0.997, 0.994009, 3.26, 10.6276, 0.65, 0.42250000000000004, 9.8, 96.04000000000002, 5.0
11.2, 125.43999999999998, 0.28, 0.07840000000000001, 0.56, 0.31360000000000005, 1.9, 3.61, 0.075, 0.005625, 17.0, 289.0, 60.0, 3600.0, 0.998, 0.996004, 3.16, 9.985600000000002, 0.58, 0.3364, 9.8, 96.04000000000002, 6.0
7.4, 54.760000000000005, 0.7, 0.48999999999999994, 0.0, 0.0, 1.9, 3.61, 0.076, 0.005776, 11.0, 121.0, 34.0, 1156.0, 0.9978, 0.99560484, 3.51, 12.320099999999998, 0.56, 0.31360000000000005, 9.4, 88.36000000000001, 5.0
7.4, 54.760000000000005, 0.66, 0.43560000000000004, 0.0, 0.0, 1.8, 3.24, 0.075, 0.005625, 13.0, 169.0, 40.0, 1600.0, 0.9978, 0.99560484, 3.51, 12.320099999999998, 0.56, 0.31360000000000005, 9.4, 88.36000000000001, 5.0
7.9, 62.410000000000004, 0.6, 0.36, 0.06, 0.0036, 1.6, 2.5600000000000005, 0.069, 0.0047610000000000005, 15.0, 225.0, 59.0, 3481.0, 0.9964, 0.9928129599999999, 3.3, 10.889999999999999, 0.46, 0.2116, 9.4, 88.36000000000001, 5.0
7.3, 53.29, 0.65, 0.42250000000000004, 0.0, 0.0, 1.2, 1.44, 0.065, 0.0042250000000000005, 15.0, 225.0, 21.0, 441.0, 0.9946, 0.98922916, 3.39, 11.4921, 0.47, 0.22089999999999999, 10.0, 100.0, 7.0
7.8, 60.839999999999996, 0.58, 0.3364, 0.02, 0.0004, 2.0, 4.0, 0.073, 0.0053289999999999995, 9.0, 81.0, 18.0, 324.0, 0.9968, 0.9936102400000001, 3.36, 11.289599999999998, 0.57, 0.32489999999999997, 9.5, 90.25, 7.0
7.5, 56.25, 0.5, 0.25, 0.36, 0.1296, 6.1, 37.209999999999994, 0.071, 0.0050409999999999995, 17.0, 289.0, 102.0, 10404.0, 0.9978, 0.99560484, 3.35, 11.2225, 0.8, 0.6400000000000001, 10.5, 110.25, 5.0
