"fixed_acidity", "fixed_acidity"_squared, "volatile_acidity", "volatile_acidity"_squared, "citric_acid", "citric_acid"_squared, "residual_sugar", "residual_sugar"_squared, "chlorides", "chlorides"_squared, "free_sulfur_dioxide", "free_sulfur_dioxide"_squared, "total_sulfur_dioxide", "total_sulfur_dioxide"_squared, "density", "density"_squared, "pH", "pH"_squared, "sulphates", "sulphates"_squared, "alcohol", "alcohol"_squared, "quality"
7.0, 49.0, 0.27, 0.0729, 0.36, 0.1296, 20.7, 428.48999999999995, 0.045, 0.002025, 45.0, 2025.0, 170.0, 28900.0, 1.001, 1.0020009999999997, 3.0, 9.0, 0.45, 0.2025, 8.8, 77.44000000000001, 6.0
6.3, 39.69, 0.3, 0.09, 0.34, 0.11560000000000002, 1.6, 2.5600000000000005, 0.049, 0.0024010000000000004, 14.0, 196.0, 132.0, 17424.0, 0.994, 0.988036, 3.3, 10.889999999999999, 0.49, 0.24009999999999998, 9.5, 90.25, 6.0
8.1, 65.61, 0.28, 0.07840000000000001, 0.4, 0.16000000000000003, 6.9, 47.61000000000001, 0.05, 0.0025000000000000005, 30.0, 900.0, 97.0, 9409.0, 0.9951, 0.9902240099999999, 3.26, 10.6276, 0.44, 0.1936, 10.1, 102.00999999999999, 6.0
7.2, 51.84, 0.23, 0.0529, 0.32, 0.1024, 8.5, 72.25, 0.058, 0.0033640000000000002, 47.0, 2209.0, 186.0, 34596.0, 0.9956, 0.9912193600000001, 3.19, 10.1761, 0.4, 0.16000000000000003, 9.9, 98.01, 6.0
7.2, 51.84, 0.23, 0.0529, 0.32, 0.1024, 8.5, 72.25, 0.058, 0.0033640000000000002, 47.0, 2209.0, 186.0, 34596.0, 0.9956, 0.9912193600000001, 3.19, 10.1761, 0.4, 0.16000000000000003, 9.9, 98.01, 6.0
8.1, 65.61, 0.28, 0.07840000000000001, 0.4, 0.16000000000000003, 6.9, 47.61000000000001, 0.05, 0.0025000000000000005, 30.0, 900.0, 97.0, 9409.0, 0.9951, 0.9902240099999999, 3.26, 10.6276, 0.44, 0.1936, 10.1, 102.00999999999999, 6.0
6.2, 38.440000000000005, 0.32, 0.1024, 0.16, 0.0256, 7.0, 49.0, 0.045, 0.002025, 30.0, 900.0, 136.0, 18496.0, 0.9949, 0.98982601, 3.18, 10.112400000000001, 0.47, 0.22089999999999999, 9.6, 92.16, 6.0
7.0, 49.0, 0.27, 0.0729, 0.36, 0.1296, 20.7, 428.48999999999995, 0.045, 0.002025, 45.0, 2025.0, 170.0, 28900.0, 1.001, 1.0020009999999997, 3.0, 9.0, 0.45, 0.2025, 8.8, 77.44000000000001, 6.0
6.3, 39.69, 0.3, 0.09, 0.34, 0.11560000000000002, 1.6, 2.5600000000000005, 0.049, 0.0024010000000000004, 14.0, 196.0, 132.0, 17424.0, 0.994, 0.988036, 3.3, 10.889999999999999, 0.49, 0.24009999999999998, 9.5, 90.25, 6.0
8.1, 65.61, 0.22, 0.0484, 0.43, 0.18489999999999998, 1.5, 2.25, 0.044, 0.0019359999999999998, 28.0, 784.0, 129.0, 16641.0, 0.9938, 0.98763844, 3.22, 10.368400000000001, 0.45, 0.2025, 11.0, 121.0, 6.0
8.1, 65.61, 0.27, 0.0729, 0.41, 0.16809999999999997, 1.45, 2.1025, 0.033, 0.0010890000000000001, 11.0, 121.0, 63.0, 3969.0, 0.9908, 0.98168464, 2.99, 8.940100000000001, 0.56, 0.31360000000000005, 12.0, 144.0, 5.0
8.6, 73.96, 0.23, 0.0529, 0.4, 0.16000000000000003, 4.2, 17.64, 0.035, 0.0012250000000000002, 17.0, 289.0, 109.0, 11881.0, 0.9947, 0.9894280900000001, 3.14, 9.8596, 0.53, 0.28090000000000004, 9.7, 94.08999999999999, 5.0
7.9, 62.410000000000004, 0.18, 0.0324, 0.37, 0.1369, 1.2, 1.44, 0.04, 0.0016, 16.0, 256.0, 75.0, 5625.0, 0.992, 0.9840639999999999, 3.18, 10.112400000000001, 0.63, 0.39690000000000003, 10.8, 116.64000000000001, 5.0
6.6, 43.559999999999995, 0.16, 0.0256, 0.4, 0.16000000000000003, 1.5, 2.25, 0.044, 0.0019359999999999998, 48.0, 2304.0, 143.0, 20449.0, 0.9912, 0.9824774399999999, 3.54, 12.531600000000001, 0.52, 0.27040000000000003, 12.4, 153.76000000000002, 7.0
8.3, 68.89000000000001, 0.42, 0.17639999999999997, 0.62, 0.3844, 19.25, 370.5625, 0.04, 0.0016, 41.0, 1681.0, 172.0, 29584.0, 1.0002, 1.00040004, 2.98, 8.8804, 0.67, 0.4489000000000001, 9.7, 94.08999999999999, 5.0
6.6, 43.559999999999995, 0.17, 0.028900000000000006, 0.38, 0.1444, 1.5, 2.25, 0.032, 0.001024, 28.0, 784.0, 112.0, 12544.0, 0.9914, 0.9828739599999999, 3.25, 10.5625, 0.55, 0.30250000000000005, 11.4, 129.96, 7.0
6.3, 39.69, 0.48, 0.2304, 0.04, 0.0016, 1.1, 1.2100000000000002, 0.046, 0.002116, 30.0, 900.0, 99.0, 9801.0, 0.9928, 0.9856518400000001, 3.24, 10.497600000000002, 0.36, 0.1296, 9.6, 92.16, 6.0
6.2, 38.440000000000005, 0.66, 0.43560000000000004, 0.48, 0.2304, 1.2, 1.44, 0.029, 0.0008410000000000001, 29.0, 841.0, 75.0, 5625.0, 0.9892, 0.9785166399999999, 3.33, 11.0889, 0.39, 0.1521, 12.8, 163.84000000000003, 8.0
7.4, 54.760000000000005, 0.34, 0.11560000000000002, 0.42, 0.17639999999999997, 1.1, 1.2100000000000002, 0.033, 0.0010890000000000001, 17.0, 289.0, 171.0, 29241.0, 0.9917, 0.98346889, 3.12, 9.7344, 0.53, 0.28090000000000004, 11.3, 127.69000000000001, 6.0
6.5, 42.25, 0.31, 0.0961, 0.14, 0.019600000000000003, 7.5, 56.25, 0.044, 0.0019359999999999998, 34.0, 1156.0, 133.0, 17689.0, 0.9955, 0.99102025, 3.22, 10.368400000000001, 0.5, 0.25, 9.5, 90.25, 5.0
6.2, 38.440000000000005, 0.66, 0.43560000000000004, 0.48, 0.2304, 1.2, 1.44, 0.029, 0.0008410000000000001, 29.0, 841.0, 75.0, 5625.0, 0.9892, 0.9785166399999999, 3.33, 11.0889, 0.39, 0.1521, 12.8, 163.84000000000003, 8.0
6.4, 40.96000000000001, 0.31, 0.0961, 0.38, 0.1444, 2.9, 8.41, 0.038, 0.001444, 19.0, 361.0, 102.0, 10404.0, 0.9912, 0.9824774399999999, 3.17, 10.0489, 0.35, 0.12249999999999998, 11.0, 121.0, 7.0
6.8, 46.239999999999995, 0.26, 0.06760000000000001, 0.42, 0.17639999999999997, 1.7, 2.8899999999999997, 0.049, 0.0024010000000000004, 41.0, 1681.0, 122.0, 14884.0, 0.993, 0.986049, 3.47, 12.0409, 0.48, 0.2304, 10.5, 110.25, 8.0
7.6, 57.76, 0.67, 0.4489000000000001, 0.14, 0.019600000000000003, 1.5, 2.25, 0.074, 0.005475999999999999, 25.0, 625.0, 168.0, 28224.0, 0.9937, 0.9874396900000001, 3.05, 9.302499999999998, 0.51, 0.2601, 9.3, 86.49000000000001, 5.0
6.6, 43.559999999999995, 0.27, 0.0729, 0.41, 0.16809999999999997, 1.3, 1.6900000000000002, 0.052, 0.002704, 16.0, 256.0, 142.0, 20164.0, 0.9951, 0.9902240099999999, 3.42, 11.696399999999999, 0.47, 0.22089999999999999, 10.0, 100.0, 6.0
7.0, 49.0, 0.25, 0.0625, 0.32, 0.1024, 9.0, 81.0, 0.046, 0.002116, 56.0, 3136.0, 245.0, 60025.0, 0.9955, 0.99102025, 3.25, 10.5625, 0.5, 0.25, 10.4, 108.16000000000001, 6.0
6.9, 47.61000000000001, 0.24, 0.0576, 0.35, 0.12249999999999998, 1.0, 1.0, 0.052, 0.002704, 35.0, 1225.0, 146.0, 21316.0, 0.993, 0.986049, 3.45, 11.902500000000002, 0.44, 0.1936, 10.0, 100.0, 6.0
7.0, 49.0, 0.28, 0.07840000000000001, 0.39, 0.1521, 8.7, 75.68999999999998, 0.051, 0.0026009999999999996, 32.0, 1024.0, 141.0, 19881.0, 0.9961, 0.99221521, 3.38, 11.424399999999999, 0.53, 0.28090000000000004, 10.5, 110.25, 6.0
7.4, 54.760000000000005, 0.27, 0.0729, 0.48, 0.2304, 1.1, 1.2100000000000002, 0.047, 0.002209, 17.0, 289.0, 132.0, 17424.0, 0.9914, 0.9828739599999999, 3.19, 10.1761, 0.49, 0.24009999999999998, 11.6, 134.56, 6.0
7.2, 51.84, 0.32, 0.1024, 0.36, 0.1296, 2.0, 4.0, 0.033, 0.0010890000000000001, 37.0, 1369.0, 114.0, 12996.0, 0.9906, 0.9812883600000001, 3.1, 9.610000000000001, 0.71, 0.5041, 12.3, 151.29000000000002, 7.0
8.5, 72.25, 0.24, 0.0576, 0.39, 0.1521, 10.4, 108.16000000000001, 0.044, 0.0019359999999999998, 20.0, 400.0, 142.0, 20164.0, 0.9974, 0.9948067599999999, 3.2, 10.240000000000002, 0.53, 0.28090000000000004, 10.0, 100.0, 6.0
8.3, 68.89000000000001, 0.14, 0.019600000000000003, 0.34, 0.11560000000000002, 1.1, 1.2100000000000002, 0.042, 0.0017640000000000002, 7.0, 49.0, 47.0, 2209.0, 0.9934, 0.98684356, 3.47, 12.0409, 0.4, 0.16000000000000003, 10.2, 104.03999999999999, 6.0
7.4, 54.760000000000005, 0.25, 0.0625, 0.36, 0.1296, 2.05, 4.2025, 0.05, 0.0025000000000000005, 31.0, 961.0, 100.0, 10000.0, 0.992, 0.9840639999999999, 3.19, 10.1761, 0.44, 0.1936, 10.8, 116.64000000000001, 6.0
6.2, 38.440000000000005, 0.12, 0.0144, 0.34, 0.11560000000000002, 1.5, 2.25, 0.045, 0.002025, 43.0, 1849.0, 117.0, 13689.0, 0.9939, 0.98783721, 3.42, 11.696399999999999, 0.51, 0.2601, 9.0, 81.0, 6.0
5.8, 33.64, 0.27, 0.0729, 0.2, 0.04000000000000001, 14.95, 223.50249999999997, 0.044, 0.0019359999999999998, 22.0, 484.0, 179.0, 32041.0, 0.9962, 0.9924144399999999, 3.37, 11.356900000000001, 0.37, 0.1369, 10.2, 104.03999999999999, 5.0
7.3, 53.29, 0.28, 0.07840000000000001, 0.43, 0.18489999999999998, 1.7, 2.8899999999999997, 0.08, 0.0064, 21.0, 441.0, 123.0, 15129.0, 0.9905, 0.98109025, 3.19, 10.1761, 0.42, 0.17639999999999997, 12.8, 163.84000000000003, 5.0
6.5, 42.25, 0.39, 0.1521, 0.23, 0.0529, 5.4, 29.160000000000004, 0.051, 0.0026009999999999996, 25.0, 625.0, 149.0, 22201.0, 0.9934, 0.98684356, 3.24, 10.497600000000002, 0.35, 0.12249999999999998, 10.0, 100.0, 5.0
7.0, 49.0, 0.33, 0.10890000000000001, 0.32, 0.1024, 1.2, 1.44, 0.053, 0.002809, 38.0, 1444.0, 138.0, 19044.0, 0.9906, 0.9812883600000001, 3.13, 9.796899999999999, 0.28, 0.07840000000000001, 11.2, 125.43999999999998, 6.0
7.3, 53.29, 0.24, 0.0576, 0.39, 0.1521, 17.95, 322.2025, 0.057, 0.003249, 45.0, 2025.0, 149.0, 22201.0, 0.9999, 0.9998000100000001, 3.21, 10.3041, 0.36, 0.1296, 8.6, 73.96, 5.0
7.3, 53.29, 0.24, 0.0576, 0.39, 0.1521, 17.95, 322.2025, 0.057, 0.003249, 45.0, 2025.0, 149.0, 22201.0, 0.9999, 0.9998000100000001, 3.21, 10.3041, 0.36, 0.1296, 8.6, 73.96, 5.0
6.7, 44.89, 0.23, 0.0529, 0.39, 0.1521, 2.5, 6.25, 0.172, 0.029583999999999996, 63.0, 3969.0, 158.0, 24964.0, 0.9937, 0.9874396900000001, 3.11, 9.672099999999999, 0.36, 0.1296, 9.4, 88.36000000000001, 6.0
